hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size,silhouette_score,davies_bouldin_index,calinski_harabasz_index,valid_model,silhouette_rank,davies_bouldin_rank,calinski_harabasz_rank,combined_rank
256,128,0.0005,0.25,1.0,0.24007344232177688,16,68,0.865250031810663,90,0.9163171052932739,0.30608984586943666,131720.52388498693,True,60.0,127.0,99.0,286.0
128,64,0.0003,0.2,1.0,0.21903170705774344,15,63,0.8016287059422318,80,0.898391842842102,0.2875815699767034,158850.7769081618,True,97.0,110.0,93.0,300.0
256,128,0.0007,0.2,0.8,0.028559238829106326,12,62,0.7889044407685456,175,0.8248310685157776,0.20222623706386755,81571.13050130784,True,154.0,50.0,114.0,318.0
256,128,0.0007,0.2,0.9,0.03212914368274462,12,44,0.5598676676421938,175,0.823354184627533,0.2026595087526278,80161.21191428782,True,156.0,51.0,115.0,322.0
256,128,0.001,0.15,0.8,0.29132436064762696,22,132,1.679603002926581,51,0.9092015624046326,0.31770195106007915,91093.38714518523,True,78.0,137.0,107.0,322.0
128,64,0.0006,0.25,0.9,0.24379500218004188,17,130,1.6541544725792083,51,0.909296452999115,0.35726847281029683,165457.3625208088,True,77.0,157.0,91.0,325.0
256,128,0.0007,0.2,1.0,0.03569904853638291,12,31,0.3944522203842728,175,0.8222407698631287,0.20297543969954648,79067.6721634371,True,159.0,52.0,116.0,327.0
256,128,0.0008,0.25,1.0,0.19270163043858954,18,129,1.6414302074055223,51,0.902180016040802,0.318430224270178,130840.58973504449,True,88.0,138.0,101.0,327.0
256,128,0.0001,0.1,0.8,0.10263342110744984,19,128,1.628705942231836,51,0.8432010412216187,0.21393606312953292,65512.02211407836,True,142.0,61.0,127.0,330.0
128,64,0.0006,0.25,1.0,0.2708833357556021,16,107,1.3614963735844254,51,0.9025148153305054,0.3352530094578864,135431.03103251287,True,86.0,149.0,96.0,331.0
256,128,0.0001,0.1,0.9,0.11546259874588108,19,119,1.5141875556686601,51,0.8424992561340332,0.21485588555357674,64858.42298610723,True,143.0,62.0,128.0,333.0
256,128,0.0002,0.15,0.8,0.1772859852920334,19,187,2.379437587479323,51,0.8562005758285522,0.22273190770681622,58167.793791407305,True,133.0,68.0,134.0,335.0
128,64,0.0007,0.2,1.0,0.25429456122128236,16,106,1.3487721084107391,51,0.9031546711921692,0.3161093644515013,76941.53740946438,True,84.0,134.0,119.0,337.0
256,128,0.0001,0.1,1.0,0.1282917763843123,19,107,1.3614963735844254,59,0.8416699171066284,0.220912327343733,64606.47043509547,True,144.0,66.0,129.0,339.0
256,128,0.0005,0.2,1.0,0.23763946596930557,18,50,0.636213258684311,90,0.9018434286117554,0.33234559463413305,92957.12983671195,True,90.0,146.0,106.0,342.0
256,128,0.0001,0.15,0.9,0.10642549562841513,17,118,1.5014632904949738,52,0.852648138999939,0.27675698934272297,77938.01514420196,True,136.0,98.0,117.0,351.0
128,64,0.0003,0.1,0.8,0.27784209556006867,18,63,0.8016287059422318,53,0.8737741708755493,0.31328277850834835,85064.47955546626,True,114.0,131.0,112.0,357.0
256,128,0.0001,0.15,1.0,0.11825055069823903,17,109,1.386944903931798,55,0.8514852523803711,0.2816005977125251,77595.3273526276,True,138.0,101.0,118.0,357.0
256,128,0.0001,0.15,0.8,0.09460044055859124,18,133,1.692327268100267,51,0.8517346978187561,0.27742438834755645,75669.72457603429,True,137.0,99.0,121.0,357.0
128,64,0.0009,0.25,0.9,0.278719353707764,14,35,0.4453492810790177,80,0.8952430486679077,0.3306672343602246,83280.93747739852,True,101.0,144.0,113.0,358.0
256,128,0.0004,0.2,1.0,0.19183755588099055,17,0,0.0,150,0.8857214450836182,0.355958033840313,142320.19849510657,True,110.0,154.0,95.0,359.0
128,64,0.0001,0.2,0.9,0.1458242379790943,11,100,1.272426517368622,58,0.8602838516235352,0.3151997998699994,90864.85353315451,True,126.0,133.0,108.0,367.0
256,128,0.0009,0.25,0.8,0.27131041723542115,16,129,1.6414302074055223,51,0.895636796951294,0.3315320411477082,71234.60343365387,True,100.0,145.0,123.0,368.0
128,64,0.0001,0.2,0.8,0.12962154487030605,10,161,2.0486066929634816,188,0.8611689805984497,0.31984050589680957,98418.92675874068,True,124.0,139.0,105.0,368.0
128,64,0.0006,0.15,0.9,0.18123856164964355,17,140,1.781397124316071,65,0.8603300452232361,0.2919240313734786,61712.07800102184,True,125.0,115.0,130.0,370.0
128,64,0.0001,0.2,1.0,0.16202693108788255,11,96,1.221529456673877,61,0.8601663708686829,0.31648435656898233,90753.49688588186,True,128.0,135.0,109.0,372.0
128,64,0.0006,0.15,1.0,0.20137617961071505,17,139,1.7686728591423846,65,0.8602359294891357,0.29221978694396133,61651.23250576742,True,127.0,116.0,131.0,374.0
256,128,0.0002,0.15,0.9,0.19944673345353756,18,110,1.3996691691054841,63,0.8478792905807495,0.2838369520313281,59145.58953518145,True,140.0,102.0,133.0,375.0
128,64,0.0006,0.2,0.8,0.27554436232358265,14,133,1.692327268100267,51,0.8893117308616638,0.3349434312634571,72730.40358849398,True,107.0,148.0,122.0,377.0
128,64,0.0006,0.15,0.8,0.16110094368857206,18,191,2.430334648174068,63,0.8622964024543762,0.3102299852625015,69315.4480707443,True,123.0,130.0,125.0,378.0
128,64,0.0004,0.1,0.8,0.21816808696797138,22,201,2.55757729991093,51,0.8530612587928772,0.28573827235193355,50276.443293215256,True,134.0,104.0,141.0,379.0
128,64,0.001,0.15,0.8,0.2003879289412391,20,276,3.511897187937397,51,0.8248070478439331,0.23094850328314803,35952.426990904685,True,155.0,71.0,153.0,379.0
128,64,0.0006,0.2,0.9,0.30998740761403043,14,128,1.628705942231836,51,0.8881738185882568,0.3387657478905576,70186.9748569375,True,109.0,150.0,124.0,383.0
128,64,0.0009,0.25,1.0,0.3096881707864045,13,34,0.4326250159053315,94,0.8889089822769165,0.3676739828504875,66558.8696521865,True,108.0,162.0,126.0,396.0
128,64,0.001,0.15,0.9,0.22543642005889397,21,216,2.7484412775162235,51,0.8227600455284119,0.2612326437891622,34259.422790378405,True,157.0,89.0,154.0,400.0
256,128,0.0007,0.15,0.8,0.2757073727950214,22,88,1.1197353352843875,51,0.891731858253479,0.3571789560048394,54181.64386147362,True,106.0,156.0,139.0,401.0
256,128,0.001,0.2,0.9,0.19629745932458034,16,122,1.5523603511897188,70,0.8758336305618286,0.3759187846293715,76329.57426422823,True,112.0,170.0,120.0,402.0
128,64,0.0006,0.2,1.0,0.34443045290447827,14,72,0.9161470925054078,51,0.8771630525588989,0.36823904884711023,54845.13549884113,True,111.0,163.0,138.0,412.0
128,64,0.0003,0.1,0.9,0.3125723575050773,17,22,0.2799338338210969,55,0.8587198257446289,0.34145495462351194,59326.21728434605,True,130.0,152.0,132.0,414.0
128,64,0.0004,0.1,0.9,0.24543909783896778,21,136,1.730500063621326,51,0.8453229069709778,0.317541302236799,46393.91038113985,True,141.0,136.0,143.0,420.0
256,128,0.0008,0.15,1.0,0.2803819340972823,21,151,1.921364041226619,51,0.8946927785873413,0.38223050754393934,44529.8493397402,True,103.0,172.0,145.0,420.0
128,64,0.0008,0.15,0.8,0.21955394849789794,19,101,1.2851507825423083,51,0.8589407205581665,0.3623416651266982,57089.476779551966,True,129.0,160.0,135.0,424.0
128,64,0.0009,0.2,0.8,0.38043858250308915,12,72,0.9161470925054078,175,0.874352753162384,0.38797044128961855,47759.016190689385,True,113.0,173.0,142.0,428.0
256,128,0.0004,0.15,0.8,0.15590950044728935,23,176,2.239470670568775,51,0.7959373593330383,0.2342828625041042,17367.67117484812,True,170.0,74.0,185.0,429.0
128,64,0.001,0.15,1.0,0.25048491117654886,21,156,1.9849853670950504,51,0.817920446395874,0.2884763850131971,33666.26606585498,True,161.0,112.0,157.0,430.0
256,128,0.001,0.2,1.0,0.2181082881384226,15,57,0.7252831149001145,80,0.8634159564971924,0.4056698547600064,56549.4469274906,True,121.0,179.0,136.0,436.0
128,64,0.0008,0.15,0.9,0.24699819206013518,19,74,0.9415956228527802,51,0.8567225337028503,0.3743274518375329,55873.45604487771,True,132.0,169.0,137.0,438.0
256,128,0.0008,0.2,0.8,0.28707040467400374,13,131,1.6668787377528946,51,0.8572517037391663,0.3715021879941177,50691.63268932795,True,131.0,167.0,140.0,438.0
256,128,0.0005,0.15,0.8,0.15009266379420091,21,169,2.150400814352971,55,0.7829583883285522,0.285371329403528,24589.187375018264,True,176.0,103.0,168.0,447.0
128,64,0.001,0.2,0.8,0.46914019415459607,12,96,1.221529456673877,174,0.8697007894515991,0.4153365070169626,38053.85382411319,True,117.0,182.0,149.0,448.0
