hidden_1,hidden_2,learning_rate,beta,batch_size,epochs,epsilon,min_samples,clusters,outliers,outlier_percentage,silhouette,dbi,chi,cluster_error,silhouette_error,dbi_error,chi_error,matching_error
32,16,0.0002,0.001,128,50,0.7,30,3,3,0.03922594142259414,0.6258470416069031,0.55315568910215,13576.877123436016,0.75,0.29680107684617635,1.9113457321165788,0.9020695408238465,0.9650540874466504
32,16,0.0002,0.001,128,50,0.7,40,3,3,0.03922594142259414,0.6258470416069031,0.55315568910215,13576.877123436016,0.75,0.29680107684617635,1.9113457321165788,0.9020695408238465,0.9650540874466504
32,16,0.0002,0.001,128,50,0.7,50,3,6,0.07845188284518828,0.6201114058494568,0.550696673072885,13608.887007273755,0.75,0.30324561140510475,1.8984035424888681,0.9018386524837735,0.9633719515944366
32,16,0.0002,0.001,128,50,0.7,60,3,8,0.10460251046025104,0.6258149147033691,0.5496808866900195,13631.024879339699,0.75,0.2968371744905965,1.8930572983685234,0.901678971287804,0.9603933610367309
32,16,0.0002,0.001,128,50,0.7,70,3,10,0.1307531380753138,0.62444669008255,0.5491298719047805,13669.504565548494,0.75,0.29837450552522465,1.890157220551476,0.9014014160514178,0.9599832855320296
32,16,0.0002,0.001,128,50,0.7,80,3,11,0.14382845188284518,0.6244595050811768,0.5490418099621045,13695.934573805887,0.75,0.2983601066503632,1.8896937366426552,0.9012107755365819,0.9598161547074001
32,16,0.0002,0.001,128,50,0.7,90,3,14,0.18305439330543932,0.6276721954345703,0.5471986988866017,13700.24398135162,0.75,0.29475034220834795,1.8799931520347455,0.9011796916388716,0.9564807964704912
32,16,0.0002,0.001,128,50,0.7,100,3,16,0.20920502092050208,0.6228964328765869,0.5445959767729703,13677.013240789589,0.75,0.30011636755439675,1.8662946145945807,0.9013472557310821,0.9544395594700148
32,16,0.0002,0.01,128,50,0.2,10,2,20,0.2615062761506276,0.7451685667037964,0.3693498802504865,38300.56839728622,0.8333333333333334,0.1627319475238243,0.9439467381604552,0.7237367462522437,0.6659371913174641
32,16,0.0002,0.01,128,50,0.2,20,2,44,0.5753138075313807,0.7445757389068604,0.3657374056886345,38941.842365396304,0.8333333333333334,0.16339804617206705,0.9249337141507079,0.719111216126002,0.6601940774455276
32,16,0.0002,0.01,128,50,0.2,30,2,69,0.9021966527196652,0.748780369758606,0.3625540658257967,39267.301649742956,0.8333333333333334,0.15867374184426297,0.9081792938199825,0.7167636676530035,0.6542375091626456
32,16,0.0002,0.01,128,50,0.2,40,2,98,1.2813807531380754,0.7470871210098267,0.3595209836955096,39678.233208137775,0.8333333333333334,0.16057626852828466,0.8922157036605769,0.7137996048690729,0.649981227597817
32,16,0.0002,0.01,128,50,0.2,50,2,119,1.5559623430962344,0.753028929233551,0.35764382055915495,39814.790866206065,0.8333333333333334,0.15390007951286402,0.8823358976797628,0.7128146100107513,0.645595980134178
32,16,0.0002,0.01,128,50,0.2,60,2,158,2.065899581589958,0.7485848665237427,0.3544115236815482,40030.427897241316,0.8333333333333334,0.15889340840028915,0.8653238088502537,0.7112592130462894,0.6422024409075414
