hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size
256,128,0.0005,0.01,0.9,0.6081066117224908,2,12,0.15269118208423463,29
256,128,0.0005,0.01,1.0,0.6756740130249898,1,7,0.08906985621580354,7852
256,128,0.0005,0.05,0.8,0.3381941510210352,7,136,1.730500063621326,28
256,128,0.0005,0.05,0.9,0.3804684198986646,3,43,0.5471434024685075,51
256,128,0.0005,0.05,1.0,0.422742688776294,3,31,0.3944522203842728,51
256,128,0.0005,0.1,0.8,0.2677232630349573,21,108,1.3742206387581117,55
256,128,0.0005,0.1,0.9,0.301188670914327,14,40,0.5089706069474488,55
256,128,0.0005,0.1,1.0,0.33465407879369663,8,40,0.5089706069474488,55
256,128,0.0005,0.15,0.8,0.15009266379420091,21,169,2.150400814352971,55
256,128,0.0005,0.15,0.9,0.16885424676847602,21,50,0.636213258684311,55
256,128,0.0005,0.15,1.0,0.18761582974275112,18,48,0.6107647283369385,55
256,128,0.0005,0.2,0.8,0.19011157277544447,20,127,1.6159816770581499,64
256,128,0.0005,0.2,0.9,0.21387551937237503,20,89,1.1324596004580736,67
256,128,0.0005,0.2,1.0,0.23763946596930557,18,50,0.636213258684311,90
256,128,0.0005,0.25,0.8,0.19205875385742152,17,133,1.692327268100267,66
256,128,0.0005,0.25,0.9,0.2160660980895992,16,68,0.865250031810663,90
256,128,0.0005,0.25,1.0,0.24007344232177688,16,68,0.865250031810663,90
256,128,0.0006,0.01,0.8,0.4438898126408106,1,79,1.0052169487212115,7780
256,128,0.0006,0.01,0.9,0.49937603922091195,1,47,0.5980404631632523,7812
256,128,0.0006,0.01,1.0,0.5548622658010133,1,30,0.3817279552105866,7829
256,128,0.0006,0.05,0.8,0.37543633717156055,6,145,1.8450184501845017,51
256,128,0.0006,0.05,0.9,0.42236587931800557,3,81,1.0306654790685839,51
256,128,0.0006,0.05,1.0,0.46929542146445063,2,3,0.03817279552105866,51
256,128,0.0006,0.1,0.8,0.23638948277188435,25,232,2.952029520295203,43
256,128,0.0006,0.1,0.9,0.2659381681183699,23,143,1.8195699198371293,51
256,128,0.0006,0.1,1.0,0.2954868534648554,20,62,0.7889044407685456,51
256,128,0.0006,0.15,0.8,0.1465367445173625,22,44,0.5598676676421938,55
256,128,0.0006,0.15,0.9,0.16485383758203281,22,40,0.5089706069474488,55
256,128,0.0006,0.15,1.0,0.18317093064670312,22,40,0.5089706069474488,55
256,128,0.0006,0.2,0.8,0.10935380330871747,23,34,0.4326250159053315,51
256,128,0.0006,0.2,0.9,0.12302302872230715,21,34,0.4326250159053315,98
256,128,0.0006,0.2,1.0,0.13669225413589683,21,34,0.4326250159053315,98
256,128,0.0006,0.25,0.8,0.02332767615803482,10,47,0.5980404631632523,190
256,128,0.0006,0.25,0.9,0.02624363567778917,10,36,0.4580735462527039,190
256,128,0.0006,0.25,1.0,0.029159595197543523,10,24,0.30538236416846926,190
256,128,0.0007,0.01,0.8,0.5258654701180338,3,94,1.1960809263265046,53
256,128,0.0007,0.01,0.9,0.591598653882788,1,55,0.6998345845527421,7804
256,128,0.0007,0.01,1.0,0.6573318376475422,1,16,0.2035882427789795,7843
256,128,0.0007,0.05,0.8,0.34152855011442385,6,69,0.8779742969843493,24
256,128,0.0007,0.05,0.9,0.38421961887872685,3,37,0.4707978114263901,51
256,128,0.0007,0.05,1.0,0.4269106876430298,2,27,0.34355515968952793,48
256,128,0.0007,0.1,0.8,0.21086432870379307,21,136,1.730500063621326,55
256,128,0.0007,0.1,0.9,0.2372223697917672,19,70,0.8906985621580354,55
256,128,0.0007,0.1,1.0,0.2635804108797413,16,57,0.7252831149001145,55
256,128,0.0007,0.15,0.8,0.2757073727950214,22,88,1.1197353352843875,51
256,128,0.0007,0.15,0.9,0.31017079439439904,19,72,0.9161470925054078,51
256,128,0.0007,0.15,1.0,0.3446342159937767,18,72,0.9161470925054078,51
256,128,0.0007,0.2,0.8,0.028559238829106326,12,62,0.7889044407685456,175
256,128,0.0007,0.2,0.9,0.03212914368274462,12,44,0.5598676676421938,175
256,128,0.0007,0.2,1.0,0.03569904853638291,12,31,0.3944522203842728,175
256,128,0.0007,0.25,0.8,0.015126755035027046,6,48,0.6107647283369385,424
256,128,0.0007,0.25,0.9,0.017017599414405428,6,35,0.4453492810790177,424
256,128,0.0007,0.25,1.0,0.018908443793783807,6,22,0.2799338338210969,424
256,128,0.0008,0.01,0.8,0.39674198790494764,2,183,2.328540526784578,53
256,128,0.0008,0.01,0.9,0.4463347363930661,2,85,1.0815625397633286,60
256,128,0.0008,0.01,1.0,0.49592748488118454,2,3,0.03817279552105866,95
256,128,0.0008,0.05,0.8,0.430692688259035,2,50,0.636213258684311,51
256,128,0.0008,0.05,0.9,0.4845292742914144,1,21,0.26720956864741063,7838
256,128,0.0008,0.05,1.0,0.5383658603237937,1,0,0.0,7859
256,128,0.0008,0.1,0.8,0.24303804567882814,19,210,2.672095686474106,51
256,128,0.0008,0.1,0.9,0.27341780138868166,15,108,1.3742206387581117,51
